Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.50,1,Date,12/5/2012,
2026-05-11T18:04:55Z,10.16.130.50,2,Time,20:42:25,
2026-05-11T18:04:55Z,10.16.130.50,3,KW Hours Forward,44833818.805517,kWh
2026-05-11T18:04:55Z,10.16.130.50,4,KW Hours Reverse,-0.844999,kWh
2026-05-11T18:04:55Z,10.16.130.50,5,KW Hours Net,44833817.945236,kWh
2026-05-11T18:04:55Z,10.16.130.50,6,KVAR Hours Forward,18813388.248824,kVARh
2026-05-11T18:04:55Z,10.16.130.50,7,KVAR Hours Reverse,-46.535199,kVARh
2026-05-11T18:04:55Z,10.16.130.50,8,KVAR Hours Net,18813341.70356,kVARh
2026-05-11T18:11:26Z,10.16.130.50,1,Date,12/5/2012,
2026-05-11T18:11:26Z,10.16.130.50,2,Time,20:48:56,
2026-05-11T18:11:26Z,10.16.130.50,3,KW Hours Forward,44833857.843938,kWh
2026-05-11T18:11:26Z,10.16.130.50,4,KW Hours Reverse,-0.844999,kWh
2026-05-11T18:11:26Z,10.16.130.50,5,KW Hours Net,44833856.983657,kWh
2026-05-11T18:11:26Z,10.16.130.50,6,KVAR Hours Forward,18813408.0706,kVARh
2026-05-11T18:11:26Z,10.16.130.50,7,KVAR Hours Reverse,-46.535199,kVARh
2026-05-11T18:11:26Z,10.16.130.50,8,KVAR Hours Net,18813361.525336,kVARh
2026-05-11T18:16:16Z,10.16.130.50,1,Date,12/5/2012,
2026-05-11T18:16:16Z,10.16.130.50,2,Time,20:53:46,
2026-05-11T18:16:16Z,10.16.130.50,3,KW Hours Forward,44833884.607053,kWh
2026-05-11T18:16:16Z,10.16.130.50,4,KW Hours Reverse,-0.844999,kWh
2026-05-11T18:16:16Z,10.16.130.50,5,KW Hours Net,44833883.746772,kWh
2026-05-11T18:16:16Z,10.16.130.50,6,KVAR Hours Forward,18813420.905076,kVARh
2026-05-11T18:16:16Z,10.16.130.50,7,KVAR Hours Reverse,-46.535199,kVARh
2026-05-11T18:16:16Z,10.16.130.50,8,KVAR Hours Net,18813374.359812,kVARh
