Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.51,1,Date,6/7/2022,
2026-05-11T18:04:55Z,10.16.130.51,2,Time,14:19:05,
2026-05-11T18:04:55Z,10.16.130.51,3,L1 Real Power,26894.279297,W
2026-05-11T18:04:55Z,10.16.130.51,4,L2 Real Power,45298.835938,W
2026-05-11T18:04:55Z,10.16.130.51,5,L3 Real Power,-28537.029297,W
2026-05-11T18:04:55Z,10.16.130.51,6,Total Real Power,43656.085938,W
2026-05-11T18:04:55Z,10.16.130.51,7,L1 Reactive Power,56611.203125,VAR
2026-05-11T18:04:55Z,10.16.130.51,8,L2 Reactive Power,46788.640625,VAR
2026-05-11T18:04:55Z,10.16.130.51,9,L3 Reactive Power,-35397.835938,VAR
2026-05-11T18:04:55Z,10.16.130.51,10,Total Reactive Power,68002.007812,VAR
2026-05-11T18:04:55Z,10.16.130.51,11,L1 Apparent Power,62769.085938,VA
2026-05-11T18:04:55Z,10.16.130.51,12,L2 Apparent Power,65174.78125,VA
2026-05-11T18:04:55Z,10.16.130.51,13,L3 Apparent Power,45660.253906,VA
2026-05-11T18:04:55Z,10.16.130.51,14,Total Apparent Power,173604.125,VA
2026-05-11T18:04:55Z,10.16.130.51,15,L1 True PF,-42.846378,%
2026-05-11T18:04:55Z,10.16.130.51,16,L2 True PF,-69.503624,%
2026-05-11T18:04:55Z,10.16.130.51,17,L3 True PF,-62.498619,%
2026-05-11T18:04:55Z,10.16.130.51,18,Total True PF,-25.076487,%
2026-05-11T18:04:55Z,10.16.130.51,19,L1 Displacement PF,-26.094124,%
2026-05-11T18:04:55Z,10.16.130.51,20,L2 Displacement PF,-59.206654,%
2026-05-11T18:04:55Z,10.16.130.51,21,L3 Displacement PF,-42.657116,%
2026-05-11T18:04:55Z,10.16.130.51,22,Total Displacement PF,-99.69989,%
2026-05-11T18:04:55Z,10.16.130.51,23,L1 Distortion PF,99.958557,%
2026-05-11T18:04:55Z,10.16.130.51,24,L2 Distortion PF,99.887619,%
2026-05-11T18:04:55Z,10.16.130.51,25,L3 Distortion PF,99.605026,%
2026-05-11T18:04:55Z,10.16.130.51,26,Total Distortion PF,99.81707,%
